GUID,Id,Kostengruppe,Best_Predicted_Kostengruppe
b6e87c8e-06eb-45ce-b073-33361bf4d3b9-009cd1e8,10277352,345,345
b6e87c8e-06eb-45ce-b073-33361bf4d3b9-009cd1ec,10277356,345,345
b6e87c8e-06eb-45ce-b073-33361bf4d3b9-009cd1eb,10277355,345,345
b6e87c8e-06eb-45ce-b073-33361bf4d3b9-009cd1ea,10277354,345,345
25fbc5f3-9a04-4a4e-bf60-d5bdaaa5c5e6-005f5510,6247696,335,335
25fbc5f3-9a04-4a4e-bf60-d5bdaaa5c5e6-005f5e13,6250003,335,335
25fbc5f3-9a04-4a4e-bf60-d5bdaaa5c5e6-005f5e15,6250005,335,335
25fbc5f3-9a04-4a4e-bf60-d5bdaaa5c5e6-005f5e14,6250004,335,335
25fbc5f3-9a04-4a4e-bf60-d5bdaaa5c5e6-005f5e16,6250006,335,335
25fbc5f3-9a04-4a4e-bf60-d5bdaaa5c5e6-005f5c12,6249490,335,335
25fbc5f3-9a04-4a4e-bf60-d5bdaaa5c5e6-005f5c11,6249489,335,335
25fbc5f3-9a04-4a4e-bf60-d5bdaaa5c5e6-005f5c10,6249488,331,331
5ce91af7-d1cc-4945-a4fd-032332d2a243-005baad6,6007510,341,341
5ce91af7-d1cc-4945-a4fd-032332d2a243-005baad4,6007508,341,341
5ce91af7-d1cc-4945-a4fd-032332d2a243-005baad5,6007509,341,341
5ce91af7-d1cc-4945-a4fd-032332d2a243-005baad2,6007506,341,341
5ce91af7-d1cc-4945-a4fd-032332d2a243-005baad3,6007507,341,341
5ce91af7-d1cc-4945-a4fd-032332d2a243-005baad0,6007504,341,341
5ce91af7-d1cc-4945-a4fd-032332d2a243-005baad1,6007505,341,341
04b1094a-088e-4bde-bdc7-c853898aeed9-009c67d5,10250197,345,345
04b1094a-088e-4bde-bdc7-c853898aeed9-009c66d1,10249937,345,345
04b1094a-088e-4bde-bdc7-c853898aeed9-009c62da,10248922,345,345
004ec2d5-5fec-4125-82fa-586590991838-00586fd6,5795798,331,331
a2d24152-9390-45ba-ae24-75f4561b06b0-009cc771,10274673,345,345
a2d24152-9390-45ba-ae24-75f4561b06b0-009cc376,10273654,345,345
